Mouse_Symbol,Human_Symbol_Manning,Human_Symbol_KinHub,Human_Symbol_Coral,Human_Symbol_Legacy,Description,Group,Family,Subfamily,UniProt_Human,MGI_Mouse,Entrez_Mouse,Source,Date,UniProt_Mouse_biomart,UniProt_Mouse_UniProtAPI,biomart_source,uniprotapi_source
Clk2,CLK2,CLK2,CLK2,CLK2,Dual specificity protein kinase CLK2,CMGC,CLK,"",P49760,MGI:1098669,12748,KinHub,10/6/2020,;O35491,O35491;E9Q5Y1;Q91YR2;F8WHX0;Q3UFP4;A0ABA7IXA3;D3Z4P7;D6RG48;D3Z7L4,biomart,uniprot_api
Clk3,CLK3,CLK3,CLK3,CLK3,Dual specificity protein kinase CLK3,CMGC,CLK,"",P49761,MGI:1098670,102414,KinHub,10/6/2020,O35492;,O35492;A0A8Z1S2G3;A0A1L1SST3;A0A1L1SQZ6;Q9QXE3;A0A1L1SQT5;A0A1L1STP6;Q3UWB8,biomart,uniprot_api
Clk4,CLK4,CLK4,CLK4,CLK4,Dual specificity protein kinase CLK4,CMGC,CLK,"",Q9HAZ1,MGI:1098551,12750,KinHub,10/6/2020,;O35493,O35493;B0QZP9;Q4FJV9;F2Z3V2;O35611;D6RH46,biomart,uniprot_api
Coq8a,ADCK3,ADCK3,ADCK3,ADCK3,Chaperone activity of bc1 complex-like,Atypical,ABC1,ABC1-A,Q8NI60,MGI:1914676,67426,KinHub,10/6/2020,Q60936;,Q60936;F7B1B6;A0A0A6YVT9;E0CXI5;E0CYG7;A0A0A6YXI0;E0CXR1;E0CXR6;E0CXT4;E0CYT4;E0CZ05;A0A0A6YXD9;E0CYD3;E0CYC1;F6T0A8,biomart,uniprot_api
Coq8b,ADCK4,ADCK4,ADCK4,ADCK4,Uncharacterized aarF domain-containing protein kinase 4,Atypical,ABC1,ABC1-A,Q96D53,MGI:1924139,76889,KinHub,10/6/2020,"",Q566J8;E9QLB8;A0A0R4J1X1,,uniprot_api
Csf1r,FMS,FMS,CSF1R,FMS,Macrophage colony-stimulating factor 1 receptor,TK,PDGFR,"",P07333,MGI:1339758,12978,KinHub,10/6/2020,P09581;,P09581;Q3U1X4;Q3U4N8;Q6NXV8;Q3U210;Q3U1Y3;Q0P635;Q3U3W0;Q3UKC6;Q3TAZ7;Q3TBH6;A0A494BBK8;A0A494BA23,biomart,uniprot_api
Csk,CSK,CSK,CSK,CSK,Tyrosine-protein kinase CSK,TK,Csk,"",P41240,MGI:88537,12988,KinHub,10/6/2020,P41241;,P41241;Q3UVH2;A0A1L1STA1;Q8BIS9;A0A1L1SQQ5;A0A1L1SR46,biomart,uniprot_api
Csnk1a1,CK1a,CK1a,CSNK1A1,CK1a,Casein kinase I isoform alpha,CK1,CK1,"",P48729,MGI:1934950,93687,KinHub,10/6/2020,Q8BK63;,Q8BK63;E9PWB2;Q3U772;Q6PJ87;E9Q3W1;E9Q4G7;E9Q2U6;Q3U844;H7BXB1;F6YBC9;Q3TVX1,biomart,uniprot_api
Csnk1d,CK1d,CK1d,CSNK1D,CK1d,Casein kinase I isoform delta,CK1,CK1,"",P48730,MGI:1355272,104318,KinHub,10/6/2020,;Q9DC28,Q9DC28;Q3USK2;Q3UBT6;F7A4U8;F6VU53,biomart,uniprot_api
Csnk1e,CK1e,CK1e,CSNK1E,CK1e,Casein kinase I isoform epsilon,CK1,CK1,"",P49674,MGI:1351660,27373,KinHub,10/6/2020,Q9JMK2;,Q9JMK2;Q9QUI3;A0A2R8VI54;Q3TYE1;A8Y2Z9;A0A2R8W6S2;A8Y2Z5;A0A2R8VHL1;A0A668KLW3;A9J9D8,biomart,uniprot_api
Csnk1g1,CK1g1,CK1g1,CSNK1G1,CK1g1,Casein kinase I isoform gamma-1,CK1,CK1,"",Q9HCP0,MGI:2660884,214897,KinHub,10/6/2020,;Q8BTH8,Q8BTH8;A0A0U1RNW0;A0A0U1RPD7;A0A0U1RP94;A0A0U1RPM8;Q6P2B2;A0A140LHR2;D3Z2A2;A0A0U1RPL1;A0A0U1RQ81;A0A140LIJ6;A0A0U1RNX9,biomart,uniprot_api
Csnk1g2,CK1g2,CK1g2,CSNK1G2,CK1g2,Casein kinase I isoform gamma-2,CK1,CK1,"",P78368,MGI:1920014,103236,KinHub,10/6/2020,;Q8BVP5,Q8BVP5;Q99JQ5;Q99K78;A0A1W2P817,biomart,uniprot_api
Csnk1g3,CK1g3,CK1g3,CSNK1G3,CK1g3,Casein kinase I isoform gamma-3,CK1,CK1,"",Q9Y6M4,MGI:1917675,70425,KinHub,10/6/2020,Q8C4X2;,Q8C4X2;A0A494BAP2;A0A494BAN5,biomart,uniprot_api
Csnk2a1,CK2a1,CK2a1,CSNK2A1,CK2a1,Casein kinase II subunit alpha,CMGC,CK2,"",P68400,MGI:88543,12995,KinHub,10/6/2020,Q60737;,Q60737;Q61177;Q8CD20;Q9D0E8;A2ANR6;Q6NSS6,biomart,uniprot_api
Csnk2a2,CK2a2,CK2a2,CSNK2A2,CK2a2,Casein kinase II subunit alpha',CMGC,CK2,"",P19784,MGI:88547,13000,KinHub,10/6/2020,O54833;,O54833;Q545V8;Q8BPF9;A0A1D5RLE4;A0A1D5RM74;A0A1D5RM55;A0A1D5RLQ2;Q8CDH5,biomart,uniprot_api
Dapk1,DAPK1,DAPK1,DAPK1,DAPK1,Death-associated protein kinase 1,CAMK,DAPK,"",P53355,MGI:1916885,69635,KinHub,10/6/2020,Q80YE7;,Q80YE7;Q3UKP8;A0A286YDD8,biomart,uniprot_api
Dapk2,DAPK2,DAPK2,DAPK2,DAPK2,Death-associated protein kinase 2,CAMK,DAPK,"",Q9UIK4,MGI:1341297,13143,KinHub,10/6/2020,Q8VDF3;,Q8VDF3;E9JGN0;F6YX98,biomart,uniprot_api
Dapk3,DAPK3,DAPK3,DAPK3,DAPK3,Death-associated protein kinase 3,CAMK,DAPK,"",O43293,MGI:1203520,13144,KinHub,10/6/2020,O54784;,O54784;Q05A21;A0A1W2P6J6;A0A1W2P730;A0A1W2P6K3,biomart,uniprot_api
Dck,"","",DCK,"",deoxycytidine kinase,Metabolic,"","","",MGI:102726,13178,MGI,10/6/2020,P43346,P43346;Q545E8;Q80US6,biomart,uniprot_api
Dclk1,DCAMKL1,DCAMKL1,DCLK1,DCAMKL1,Serine/threonine-protein kinase DCLK1,CAMK,DCAMKL,"",O15075,MGI:1330861,13175,KinHub,10/6/2020,;Q9JLM8,Q9JLM8;A0A0G2JGQ6;A3KN70;Q8CHG1;A0A0G2JE54;Q8CCN4;H7BX36;Q1EDH1;Q9JLM6;Q8BRN4;Q8VDT3;Q9JLM7;A0A0G2JEN4;Q3UGP0;Q80VB6;Q8BQN2;A0A0G2JGH1;A0A0G2JGR9;A8IP62,biomart,uniprot_api
Dclk2,DCAMKL2,DCAMKL2,DCLK2,DCAMKL2,Serine/threonine-protein kinase DCLK2,CAMK,DCAMKL,"",Q8N568,MGI:1918012,70762,KinHub,10/6/2020,Q6PGN3;,Q6PGN3;A0A0A6YWI6;A0A0A6YX71;A0A0A6YX33,biomart,uniprot_api
Dclk3,DCAMKL3,DCAMKL3,DCLK3,DCAMKL3,Serine/threonine-protein kinase DCLK3,CAMK,DCAMKL,"",Q9C098,MGI:3039580,245038,KinHub,10/6/2020,Q8BWQ5,Q8BWQ5,biomart,uniprot_api
Ddr1,DDR1,DDR1,DDR1,DDR1,Epithelial discoidin domain-containing receptor 1,TK,DDR,"",Q08345,MGI:99216,12305,KinHub,10/6/2020,Q03146;,Q03146;Q544T2;O35407;Q05BN5;G3UXE5;Q6NZR6;D6RII6;F7BZR8;B0V2H8;B0V2H9;B0V2I0;E9PW79,biomart,uniprot_api
Ddr2,DDR2,DDR2,DDR2,DDR2,Discoidin domain-containing receptor 2,TK,DDR,"",Q16832,MGI:1345277,18214,KinHub,10/6/2020,Q62371;,Q62371;A0A0A6YXY2,biomart,uniprot_api
Dmpk,DMPK1,DMPK1,DMPK,DMPK1,Myotonin-protein kinase,AGC,DMPK,GEK,Q09013,MGI:94906,13400,KinHub,10/6/2020,P54265;,P54265;E9Q6J9;Q05CL1;Q6DI71;D6RI32;D3YYG5,biomart,uniprot_api
Dstyk,SgK496,SgK496,DSTYK,SgK496,Dual serine/threonine and tyrosine protein kinase,Other,Dusty,"",Q6XUX3,MGI:1925064,213452,KinHub,10/6/2020,Q6XUX1;,Q6XUX1;A0A087WP69;Q6A064;A0A087WQX0;A1L3P8,biomart,uniprot_api
Dyrk1a,DYRK1A,DYRK1A,DYRK1A,DYRK1A,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,CMGC,DYRK,DYRK1,Q13627,MGI:1330299,13548,KinHub,10/6/2020,Q61214;,Q61214;A9C475;F6U6X3;Q8C774;A1L341;Q8K006;Q61158;Q80ZK5;A9C477;Q3USJ7;A9C478,biomart,uniprot_api
Dyrk1b,DYRK1B,DYRK1B,DYRK1B,DYRK1B,Dual specificity tyrosine-phosphorylation-regulated kinase 1B,CMGC,DYRK,DYRK1,Q9Y463,MGI:1330302,13549,KinHub,10/6/2020,Q9Z188,Q9Z188,biomart,uniprot_api
Dyrk2,DYRK2,DYRK2,DYRK2,DYRK2,Dual specificity tyrosine-phosphorylation-regulated kinase 2,CMGC,DYRK,DYRK2,Q92630,MGI:1330301,69181,KinHub,10/6/2020,Q5U4C9,Q5U4C9,biomart,uniprot_api
Dyrk3,DYRK3,DYRK3,DYRK3,DYRK3,Dual specificity tyrosine-phosphorylation-regulated kinase 3,CMGC,DYRK,DYRK2,O43781,MGI:1330300,226419,KinHub,10/6/2020,Q922Y0;,Q922Y0;A0A087WQ56,biomart,uniprot_api
Dyrk4,DYRK4,DYRK4,DYRK4,DYRK4,Dual specificity tyrosine-phosphorylation-regulated kinase 4,CMGC,DYRK,DYRK2,Q9NR20,MGI:1330292,101320,KinHub,10/6/2020,Q8BI55;,Q8BI55;K3W4S9,biomart,uniprot_api
Eef2k,eEF2K,eEF2K,EEF2K,eEF2K,Eukaryotic elongation factor 2 kinase,Atypical,Alpha,eEF2K,O00418,MGI:1195261,13631,KinHub,10/6/2020,O08796;,O08796;Q7TPC7;Q8CEC8;Q8BNP6;Q3UWZ1;D3Z088;F7A9F2;D3Z1Y3;Q3V3Q0;F6ZEU2,biomart,uniprot_api
Egfr,EGFR,EGFR,EGFR,EGFR,Epidermal growth factor receptor,TK,EGFR,"",P00533,MGI:95294,13649,KinHub,10/6/2020,Q01279;,Q01279;Q9EP98;Q9WVF5;Q9ERV6;Q5SVE7;Q3TQS6;Q99PK1,biomart,uniprot_api
Eif2ak1,HRI,HRI,EIF2AK1,HRI,Eukaryotic translation initiation factor 2-alpha kinase 1,Other,PEK,"",Q9BQI3,MGI:1353448,15467,KinHub,10/6/2020,Q9Z2R9,Q9Z2R9;Q3TYQ3,biomart,uniprot_api
Eif2ak2,PKR,PKR,EIF2AK2,PKR,Interferon-induced,Other,PEK,"",P19525,MGI:1353449,19106,KinHub,10/6/2020,Q03963,Q03963;Q91YN2;Q78E06,biomart,uniprot_api
Eif2ak3,PEK,PEK,EIF2AK3,PEK,Eukaryotic translation initiation factor 2-alpha kinase 3,Other,PEK,PEK,Q9NZJ5,MGI:1341830,13666,KinHub,10/6/2020,"",Q9Z2B5;E9QQ30;Q7TQC8;A0A0R4J1Y1,,uniprot_api
Eif2ak4,GCN2,GCN2,EIF2AK4,GCN2,Eukaryotic translation initiation factor 2-alpha kinase 4,Other,PEK,GCN2,Q9P2K8,MGI:1353427,27103,KinHub,10/6/2020,;Q9QZ05,Q9QZ05;A2AUM0;A2AUM1;A2AUM2;A2AUL9,biomart,uniprot_api
Epha1,EphA1,EphA1,EPHA1,EphA1,Ephrin type-A receptor 1,TK,Eph,"",P21709,MGI:107381,13835,KinHub,10/6/2020,Q60750;,Q60750;Q6IR19;A0A0N4SUP4;Q9CYI2,biomart,uniprot_api
Epha10,EphA10,EphA10,EPHA10,EphA10,Ephrin type-A receptor 10,TK,Eph,"",Q5JZY3,MGI:3586824,230735,KinHub,10/6/2020,Q8BYG9;,Q8BYG9;F6WVB0,biomart,uniprot_api
Epha2,EphA2,EphA2,EPHA2,EphA2,Ephrin type-A receptor 2,TK,Eph,"",P29317,MGI:95278,13836,KinHub,10/6/2020,Q03145,Q03145,biomart,uniprot_api
Epha3,EphA3,EphA3,EPHA3,EphA3,Ephrin type-A receptor 3,TK,Eph,"",P29320,MGI:99612,13837,KinHub,10/6/2020,"",P29319;Q8BRB1;Q8C3U1;B7ZNN5;Q8C9K6;A0A338P7J9;A0A338P6A7,,uniprot_api
Epha4,EphA4,EphA4,EPHA4,EphA4,Ephrin type-A receptor 4,TK,Eph,"",P54764,MGI:98277,13838,KinHub,10/6/2020,Q03137;,Q03137;Q99KA8;A0A087WQW6;Q3V1W9;A0A087WQZ6;A0A087WRH4,biomart,uniprot_api
Epha5,EphA5,EphA5,EPHA5,EphA5,Ephrin type-A receptor 5,TK,Eph,"",P54756,MGI:99654,13839,KinHub,10/6/2020,Q60629;,Q60629;E9PUP9;E9PUQ2;E9PUQ0;Q6PFV6;E9PUQ4;Q61821,biomart,uniprot_api
Epha6,EphA6,EphA6,EPHA6,EphA6,Ephrin type-A receptor 6,TK,Eph,"",Q9UF33,MGI:108034,13840,KinHub,10/6/2020,"",Q62413;G1K381,,uniprot_api
Epha7,EphA7,EphA7,EPHA7,EphA7,Ephrin type-A receptor 7,TK,Eph,"",Q15375,MGI:95276,13841,KinHub,10/6/2020,Q61772;,Q61772;A2BDQ4;Q8R381;Q3V3T7;Q8CC52;Q8CCF9,biomart,uniprot_api
Epha8,EphA8,EphA8,EPHA8,EphA8,Ephrin type-A receptor 8,TK,Eph,"",P29322,MGI:109378,13842,KinHub,10/6/2020,O09127,O09127;Q5DTX7,biomart,uniprot_api
Ephb1,EphB1,EphB1,EPHB1,EphB1,Ephrin type-B receptor 1,TK,Eph,"",P54762,MGI:1096337,270190,KinHub,10/6/2020,Q8CBF3;,Q8CBF3;Q8CA63;Q8C4I9,biomart,uniprot_api
Ephb2,EphB2,EphB2,EPHB2,EphB2,Ephrin type-B receptor 2,TK,Eph,"",P29323,MGI:99611,13844,KinHub,10/6/2020,P54763;,P54763;F6Q4H2;Q62128,biomart,uniprot_api
Ephb3,EphB3,EphB3,EPHB3,EphB3,Ephrin type-B receptor 3,TK,Eph,"",P54753,MGI:104770,13845,KinHub,10/6/2020,P54754;,P54754;Q60669;E0CYA3;Q3TZ77;A0A338P6E0;A0A338P6F1,biomart,uniprot_api
Ephb4,EphB4,EphB4,EPHB4,EphB4,Ephrin type-B receptor 4,TK,Eph,"",P54760,MGI:104757,13846,KinHub,10/6/2020,P54761;,P54761;Q8C8K1;E9PWK7;Q8C7S3;Q3V1K8;Q91YM0;Q62128,biomart,uniprot_api
Ephb6,EphB6,EphB6,EPHB6,EphB6,Ephrin type-B receptor 6,TK,Eph,"",O15197,MGI:1096338,13848,KinHub,10/6/2020,O08644;,O08644;F6TDC5;F6W657,biomart,uniprot_api
Erbb2,ErbB2,HER2/ErbB2,ERBB2,ErbB2,Receptor tyrosine-protein kinase erbB-2,TK,EGFR,"",P04626,MGI:95410,13866,KinHub,10/6/2020,P70424,P70424;Q8C0E7;Q80Y89;Q8R2X1,biomart,uniprot_api
Erbb3,ErbB3,HER3/ErbB3,ERBB3,ErbB3,Receptor tyrosine-protein kinase erbB-3,TK,EGFR,"",P21860,MGI:95411,13867,KinHub,10/6/2020,Q61526,Q61526;O88458,biomart,uniprot_api
Erbb4,ErbB4,HER4/ErbB4,ERBB4,ErbB4,Receptor tyrosine-protein kinase erbB-4,TK,EGFR,"",Q15303,MGI:104771,13869,KinHub,10/6/2020,Q61527;,Q61527;B2KGF7;O88459,biomart,uniprot_api
Ern1,IRE1,IRE1,ERN1,IRE1,Serine/threonine-protein kinase/endoribonuclease IRE1,Other,IRE,"",O75460,MGI:1930134,78943,KinHub,10/6/2020,Q9EQY0;,Q9EQY0;B1ARJ5;B1ATQ7;Q3TBZ5,biomart,uniprot_api
Ern2,IRE2,IRE2,ERN2,IRE2,Serine/threonine-protein kinase/endoribonuclease IRE2,Other,IRE,"",Q76MJ5,MGI:1349436,26918,KinHub,10/6/2020,;Q9Z2E3,Q9Z2E3;Q32MS5;Q3UTN5,biomart,uniprot_api
Fer,FER,FER,FER,FER,Tyrosine-protein kinase Fer,TK,Fer,"",P16591,MGI:105917,14158,KinHub,10/6/2020,;P70451,P70451;Q3TZJ5;Q3TME9;A0A3B2W4F1;Q9CRE2,biomart,uniprot_api
Fes,FES,FES,FES,FES,Tyrosine-protein kinase Fes/Fps,TK,Fer,"",P07332,MGI:95514,14159,KinHub,10/6/2020,;P16879,P16879;A0A0U1RPM2;A0A0U1RNL3;A0A0U1RPQ5;A0A0U1RQ80;A0A0U1RPB9;A0A0U1RPD6;A0A0U1RPN6;Q8CGG9,biomart,uniprot_api
Fgfr1,FGFR1,FGFR1,FGFR1,FGFR1,Fibroblast growth factor receptor 1,TK,FGFR,"",P11362,MGI:95522,14182,KinHub,10/6/2020,;P16092,P16092;Q8CIM9;Q60818;Q8CBY7;Q3TJ05;Q61565;A0A1B0GSZ6;A0A1B0GSD9;D3YW77;D3Z4V6;A0A1B0GSQ7,biomart,uniprot_api
Fgfr2,FGFR2,FGFR2,FGFR2,FGFR2,Fibroblast growth factor receptor 2,TK,FGFR,"",P21802,MGI:95523,14183,KinHub,10/6/2020,"",P21803;A1YYM5;E9PVU6;E9Q7E8;A1YYM6;A1YYM8;A1YYN7;E9PX88;E9Q5C2;E9QK53;A1YYP1;D3Z5M8;E9PX60;E9PX90;A1YYM3;A1YYM9;A1YYN0;A1YYN6;A1YYN9;B9EKY4;E9PXV8;E9Q5C3;E9Q708;E9Q7C7;E9Q7T0;A1YYM4;A1YYM7;A1YYN1;A1YYN2;A1YYN5;A1YYP0;B7ZWP2;E9PX67;E9Q7E6;A1YYN4;A1YYN8;E9Q700;A1YYN3;D6RJK5;F2Z480;F7BDU9,,uniprot_api
Fgfr3,FGFR3,FGFR3,FGFR3,FGFR3,Fibroblast growth factor receptor 3,TK,FGFR,"",P22607,MGI:95524,14184,KinHub,10/6/2020,"",Q61851;Q3TQL1;Q7TSI8;Q99052;E9QNJ9;F6TK14;Q3UPE1;Q61563;Q3TQJ1;A0A0J9YU20;A0A0J9YTQ5;A0A0J9YUB8;A0A0J9YUX1;Q3UNB1;A0A0J9YU04;D3Z7U5,,uniprot_api
Fgfr4,FGFR4,FGFR4,FGFR4,FGFR4,Fibroblast growth factor receptor 4,TK,FGFR,"",P22455,MGI:95525,14186,KinHub,10/6/2020,"",Q03142;A0A0R4IZY3;Q9ESV5;Q9ESV4,,uniprot_api
Fgr,FGR,FGR,FGR,FGR,Tyrosine-protein kinase Fgr,TK,Src,"",P09769,MGI:95527,14191,KinHub,10/6/2020,P14234,P14234;Q6GTF2,biomart,uniprot_api
Flt1,FLT1,FLT1,FLT1,FLT1,Vascular endothelial growth factor receptor 1,TK,VEGFR,"",P17948,MGI:95558,14254,KinHub,10/6/2020,"",P35969;A0A0R4J0A4;O55095;Q8K1H4;Q3TJC1;Q9CSC8;Q78ZF4;Q9CW58;Q9DAV2,,uniprot_api
Flt3,FLT3,FLT3,FLT3,FLT3,Receptor-type tyrosine-protein kinase FLT3,TK,PDGFR,"",P36888,MGI:95559,14255,KinHub,10/6/2020,"",Q00342;Q3UEW6;Q60515;Q3TQF1;Q8BR20,,uniprot_api
Flt4,FLT4,FLT4,FLT4,FLT4,Vascular endothelial growth factor receptor 3,TK,VEGFR,"",P35916,MGI:95561,14257,KinHub,10/6/2020,P35917,P35917;Q5SU94,biomart,uniprot_api
Fn3k,"","",FN3K,"",fructosamine 3 kinase,Metabolic,"","","",MGI:1926834,63828,MGI,10/6/2020,Q9ER35;,Q9ER35;Q7TQJ3;Q6P264,biomart,uniprot_api
Fn3krp,"","",FN3KRP,"",fructosamine 3 kinase related protein,Metabolic,"","","",MGI:2679256,238024,MGI,10/6/2020,Q8K274,Q8K274;Q8BHV7,biomart,uniprot_api
Frk,FRK,FRK,FRK,FRK,Tyrosine-protein kinase FRK,TK,Src,"",P42685,MGI:103265,14302,KinHub,10/6/2020,Q922K9,Q922K9,biomart,uniprot_api
Fyn,FYN,FYN,FYN,FYN,Tyrosine-protein kinase Fyn,TK,Src,"",P06241,MGI:95602,14360,KinHub,10/6/2020,;P39688,P39688;D3YZ57;D3YZA2;D3YVZ0,biomart,uniprot_api
Gak,GAK,GAK,GAK,GAK,Cyclin-G-associated kinase,Other,NAK,"",O14976,MGI:2442153,231580,KinHub,10/6/2020,"",Q99KY4;A0A0R4J0F6;Q3UIZ0;Q3UDE5;F6SLK1;A0A0G2JFZ0;D6RHK5;F7BG02;A0A0G2JEW6;A0A0G2JGP6,,uniprot_api
Galk1,"","",GALK1,"",galactokinase 1,Metabolic,"","","",MGI:95730,14635,MGI,10/6/2020,Q9R0N0,Q9R0N0;Q80UL3;Q9CWW5;Q9CXZ9,biomart,uniprot_api
Grk1,RHOK,RHOK,GRK1,RHOK,Rhodopsin kinase,AGC,GRK,GRK,Q15835,MGI:1345146,24013,KinHub,10/6/2020,"",Q9WVL4;Q4V9Z9;G3X905,,uniprot_api
Grk2,BARK1,BARK1,ADRBK1,BARK1,Beta-adrenergic receptor kinase 1,AGC,GRK,BARK,P25098,MGI:87940,110355,KinHub,10/6/2020,;Q99MK8,Q99MK8;Q3U1V3;Q7TS64;F6Y9P3;F6QY34;F7AEX1;A0A494B9J9;Q3U5J8,biomart,uniprot_api
Grk3,BARK2,BARK2,ADRBK2,BARK2,G protein-coupled receptor kinase 3,AGC,GRK,BARK,P35626,MGI:87941,320129,KinHub,10/6/2020,Q3UYH7;,Q3UYH7;Q8BVT9;A0A0G2JEW1;Q8BX71,biomart,uniprot_api
Grk4,GPRK4,GPRK4,GRK4,GPRK4,G protein-coupled receptor kinase 4,AGC,GRK,GRK,P32298,MGI:95801,14772,KinHub,10/6/2020,;O70291,O70291;Q8BP13;F7BEP0;Q9D203,biomart,uniprot_api
Grk5,GPRK5,GPRK5,GRK5,GPRK5,G protein-coupled receptor kinase 5,AGC,GRK,GRK,P34947,MGI:109161,14773,KinHub,10/6/2020,Q8VEB1;,Q8VEB1;Q3TST4;A0A494B9K8,biomart,uniprot_api
Grk6,GPRK6,GPRK6,GRK6,GPRK6,G protein-coupled receptor kinase 6,AGC,GRK,GRK,P43250,MGI:1347078,26385,KinHub,10/6/2020,;O70293,O70293;Q9EPB9;Q9EP84;A0A286YE10;Q3TTW2;A0A286YDA5;O70296;Q3UK88;Q792R0;A0A286YDZ5,biomart,uniprot_api
Gsk3a,GSK3A,GSK3A,GSK3A,GSK3A,Glycogen synthase kinase-3 alpha,CMGC,GSK,"",P49840,MGI:2152453,606496,KinHub,10/6/2020,Q2NL51;,Q2NL51;D3Z7E5,biomart,uniprot_api
Gsk3b,GSK3B,GSK3B,GSK3B,GSK3B,Glycogen synthase kinase-3 beta,CMGC,GSK,"",P49841,MGI:1861437,56637,KinHub,10/6/2020,Q9WV60;,Q9WV60;E9QAQ5;Q5KU03;A0A338P6P8;Q3TB31,biomart,uniprot_api
Gucy2c,HSER,HSER,GUCY2C,HSER,Heat-stable enterotoxin receptor,RGC,RGC,"",P25092,MGI:106903,14917,KinHub,10/6/2020,Q3UWA6,Q3UWA6;Q61150,biomart,uniprot_api
Gucy2d,CYGD,CYGD,GUCY2D,CYGD,Retinal guanylyl cyclase 1,RGC,RGC,"",Q02846,MGI:106030,14918,KinHub,10/6/2020,A0A0U1RPR8;,A0A0U1RPR8;F6VFS9;Q3V2J4;A0A0U1RPB5,biomart,uniprot_api
Gucy2e,"","","","",guanylate cyclase 2e,RGC,"","","",MGI:105123,14919,MGI,10/6/2020,P52785,P52785;Q8C8X5,biomart,uniprot_api
Gucy2f,CYGF,CYGF,GUCY2F,CYGF,Retinal guanylyl cyclase 2,RGC,RGC,"",P51841,MGI:105119,245650,KinHub,10/6/2020,Q5SDA5,Q5SDA5,biomart,uniprot_api
Haspin,Haspin,Haspin,GSG2,Haspin,Serine/threonine-protein kinase haspin,Other,Haspin,"",Q8TF76,MGI:1194498,14841,KinHub,10/6/2020,"",Q9Z0R0;A0A0R4J0P2;Q2KHL1;Q3UU60,,uniprot_api
Hck,HCK,HCK,HCK,HCK,Tyrosine-protein kinase HCK,TK,Src,"",P08631,MGI:96052,15162,KinHub,10/6/2020,P08103;,P08103;F6UND7,biomart,uniprot_api
Hipk1,HIPK1,HIPK1,HIPK1,HIPK1,Homeodomain-interacting protein kinase 1,CMGC,DYRK,HIPK,Q86Z02,MGI:1314873,15257,KinHub,10/6/2020,O88904;,O88904;A0A0R4J1V6;A0S0L1;Q8C642;A0S0D9;A0S0E1;A0S0L0;A0S0E0;A0S0L2;A0S0L3;A0S0L5;A0S0D6;A0S0D7;A0S0D8;A0S0E2;A0S0L4,biomart,uniprot_api
Hipk2,HIPK2,HIPK2,HIPK2,HIPK2,Homeodomain-interacting protein kinase 2,CMGC,DYRK,HIPK,Q9H2X6,MGI:1314872,15258,KinHub,10/6/2020,Q9QZR5;,Q9QZR5;A0A0R4J202;Q5D0E9;A0A0R4J204,biomart,uniprot_api
Hipk3,HIPK3,HIPK3,HIPK3,HIPK3,Homeodomain-interacting protein kinase 3,CMGC,DYRK,HIPK,Q9H422,MGI:1314882,15259,KinHub,10/6/2020,Q9ERH7;,Q9ERH7;A2AQH3;A2RRJ7;Q3UST3;O35694,biomart,uniprot_api
Hipk4,HIPK4,HIPK4,HIPK4,HIPK4,Homeodomain-interacting protein kinase 4,CMGC,DYRK,HIPK,Q8NE63,MGI:2685008,233020,KinHub,10/6/2020,Q3V016,Q3V016,biomart,uniprot_api
Hk1,"","",HK1,"",hexokinase 1,Metabolic,"","","",MGI:96103,15275,MGI,10/6/2020,P17710;,P17710;D3Z105;Q3TTB4;Q3UE51;D3Z365;G3UVV4;Q3UPC4;Q6GQU1;D3YYR4;Q3TJE3;O89063;F6QD41;B4YB29,biomart,uniprot_api
Hunk,HUNK,HUNK,HUNK,HUNK,Hormonally up-regulated neu tumor-associated kinase,CAMK,CAMKL,HUNK,P57058,MGI:1347352,26559,KinHub,10/6/2020,O88866;,O88866;B2RQ72;Q3UGV4;Q3UMW5,biomart,uniprot_api
Igf1r,IGF1R,IGF1R,IGF1R,IGF1R,Insulin-like growth factor 1 receptor,TK,InsR,"",P08069,MGI:96433,16001,KinHub,10/6/2020,"",Q60751;E9QNX9;Q3U1L4;Q3UVJ3,,uniprot_api
Ikbkb,IKKb,IKKb,IKBKB,IKKb,Inhibitor of nuclear factor kappa-B kinase subunit beta,Other,IKK,"",O14920,MGI:1338071,16150,KinHub,10/6/2020,"",O88351;Q5D0E0;Q05DR8;A0A0R4J0T4;Q3U141;Q3USX8;Q3V454;Q8BQA9;F6XPL0;F6ULQ4,,uniprot_api
Ikbke,IKKe,IKKe,IKBKE,IKKe,Inhibitor of nuclear factor kappa-B kinase subunit epsilon,Other,IKK,"",Q14164,MGI:1929612,56489,KinHub,10/6/2020,Q9R0T8;,Q9R0T8;Q3U6P9;E9PYL6;Q8CI55;Q5DU46;E0CY50,biomart,uniprot_api
Ilk,ILK,ILK,ILK,ILK,Integrin-linked protein kinase,TKL,MLK,ILK,Q13418,MGI:1195267,16202,KinHub,10/6/2020,O55222;,O55222;A0A1B0GRF6;A0A1B0GR42;F6Q5Z1;A0A1B0GRW6;D3YZA5,biomart,uniprot_api
Insr,INSR,INSR,INSR,INSR,Insulin receptor,TK,InsR,"",P06213,MGI:96575,16337,KinHub,10/6/2020,;P15208,P15208;M4TKR7;Q3TPM5;Q3V313;A0A140LI30;B8Q3N4;O35466;Q3V2X8,biomart,uniprot_api
